title,authors,date,target year
"A high-quality genome assembly from a single, field-collected spotted lanternfly (Lycorma delicatula) using the PacBio Sequel II system","Sarah B Kingan, Julie Urban, Christine C Lambert, Primo Baybayan, Anna K Childers ...",14 October 2019,2019
PIRATE: A fast and scalable pangenomics toolbox for clustering diverged orthologues in bacteria,"Sion C Bayliss, Harry A Thorpe, Nicola M Coyle, Samuel K Sheppard, Edward J Feil",09 October 2019,2019
IKAP—Identifying K mAjor cell Population groups in single-cell RNA-sequencing analysis,"Yun-Ching Chen, Abhilash Suresh, Chingiz Underbayev, Clare Sun, Komudi Singh ...",01 October 2019,2019
"Draft genome sequence of Solanum aethiopicum provides insights into disease resistance, drought tolerance, and the evolution of the genome","Bo Song, Yue Song, Yuan Fu, Elizabeth Balyejusa Kizito, Sandra Ndagire Kamenya ...",01 October 2019,2019
Bionitio: demonstrating and facilitating best practices for bioinformatics command-line software,"Peter Georgeson, Anna Syme, Clare Sloggett, Jessica Chung, Harriet Dashnow ...",23 September 2019,2019
Chromosome-level assembly of the mustache toad genome using third-generation DNA sequencing and Hi-C analysis,"Yongxin Li, Yandong Ren, Dongru Zhang, Hui Jiang, Zhongkai Wang ...",23 September 2019,2019
A field guide for the compositional analysis of any-omics data,"Thomas P Quinn, Ionas Erb, Greg Gloor, Cedric Notredame, Mark F Richardson ...",23 September 2019,2019
High-coverage genomes to elucidate the evolution of penguins,"Hailin Pan, Theresa L Cole, Xupeng Bi, Miaoquan Fang, Chengran Zhou ...",18 September 2019,2019
Evaluating stably expressed genes in single cells,"Yingxin Lin, Shila Ghazanfar, Dario Strbenac, Andy Wang, Ellis Patrick ...",16 September 2019,2019
Genome sequence of the Chinese white wax scale insect Ericerus pela: the first draft genome for the Coccidae family of scale insects,"Pu Yang, Shuhui Yu, Junjun Hao, Wei Liu, Zunling Zhao ...",13 September 2019,2019
Hybrid de novo genome assembly of Chinese chestnut (Castanea mollissima),"Yu Xing, Yang Liu, Qing Zhang, Xinghua Nie, Yamin Sun ...",12 September 2019,2019
"A draft genome assembly of halophyte Suaeda aralocaspica, a plant that performs C4 photosynthesis within individual cells","Lei Wang, Ganglong Ma, Hongling Wang, Chao Cheng, Shuyong Mu ...",12 September 2019,2019
"Correction to: De novo genome assembly of the endangered Acer yangbiense, a plant species with extremely small populations endemic to Yunnan De novo genome assembly of the endangered Acer yangbiense, a plant species with extremely small populations endemic to Yunnan Province, China","Jing Yang, Hafiz Muhammad Wariss, Lidan Tao, Rengang Zhang, Quanzheng Yun ...",11 September 2019,2019
Evaluation of computational genotyping of structural variation for clinical diagnoses,"Varuna Chander, Richard A Gibbs, Fritz J Sedlazeck",08 September 2019,2019
rCASC: reproducible classification analysis of single-cell sequencing data,"Luca Alessandrì, Francesca Cordero, Marco Beccuti, Maddalena Arigoni, Martina Olivero ...",08 September 2019,2019
High-quality Schistosoma haematobium genome achieved by single-molecule and long-range sequencing,"Andreas J Stroehlein, Pasi K Korhonen, Teik Min Chong, Yan Lue Lim, Kok Gan Chan ...",05 September 2019,2019
rnaSPAdes: a de novo transcriptome assembler and its application to RNA-Seq data,"Elena Bushmanova, Dmitry Antipov, Alla Lapidus, Andrey D Prjibelski",03 September 2019,2019
Genomic evidence of neo-sex chromosomes in the eastern yellow robin,"Han Ming Gan, Stephanie Falk, Hernán E Morales, Christopher M Austin, Paul Sunnucks ...",03 September 2019,2019
VAPPER: High-throughput variant antigen profiling in African trypanosomes of livestock,"Sara Silva Pereira, John Heap, Andrew R Jones, Andrew P Jackson",29 August 2019,2019
ascend: R package for analysis of single-cell RNA-seq data,"Anne Senabouth, Samuel W Lukowski, Jose Alquicira Hernandez, Stacey B Andersen, Xin Mei ...",24 August 2019,2019
Precision nomenclature for the new genomics,"Harris A Lewin, Jennifer A Marshall Graves, Oliver A Ryder, Alexander S Graphodatsky, Stephen J O'Brien",22 August 2019,2019
A high-quality genome assembly for the endangered golden snub-nosed monkey (Rhinopithecus roxellana),"Lu Wang, Jinwei Wu, Xiaomei Liu, Dandan Di, Yuhong Liang ...",22 August 2019,2019
Metabolic responses of rice source and sink organs during recovery from combined drought and heat stress in the field,"Lovely Mae F Lawas, Alexander Erban, Joachim Kopka, S V Krishna Jagadish, Ellen Zuther ...",21 August 2019,2019
Comparison of single-nucleotide variants identified by Illumina and Oxford Nanopore technologies in the context of a potential outbreak of Shiga toxin–producing Escherichia coli,"David R Greig, Claire Jenkins, Saheer Gharbia, Timothy J Dallman",21 August 2019,2019
"The draft genome sequence of the spider Dysdera silvatica (Araneae, Dysderidae): A valuable resource for functional and evolutionary genomic studies in chelicerates","Jose Francisco Sánchez-Herrero, Cristina Frías-López, Paula Escuer, Silvia Hinojosa-Alvarez, Miquel A Arnedo ...",20 August 2019,2019
A chromosome-level draft genome of the grain aphid Sitobion miscanthi,"Xin Jiang, Qian Zhang, Yaoguo Qin, Hang Yin, Siyu Zhang ...",20 August 2019,2019
"A chromosomal-level genome assembly for the insect vector for Chagas disease, Triatoma rubrofasciata","Qin Liu, Yunhai Guo, Yi Zhang, Wei Hu, Yuanyuan Li ...",19 August 2019,2019
SeQuiLa-cov: A fast and scalable library for depth of coverage calculations,"Marek Wiewiórka, Agnieszka Szmurło, Wiktor Kuśmirek, Tomasz Gambin",05 August 2019,2019
Erratum to: iMicrobe: Tools and data-driven discovery platform for the microbiome sciences,"Ken Youens-Clark, Matt Bomhoff, Alise J Ponsero, Elisha M Wood-Charlson, Joshua Lynch ...",01 August 2019,2019
An integrated respiratory microbial gene catalogue to better understand the microbial aetiology of Mycoplasma pneumoniae pneumonia,"Wenkui Dai, Heping Wang, Qian Zhou, Dongfang Li, Xin Feng ...",31 July 2019,2019
PathwayMatcher: proteoform-centric network construction enables fine-granularity multiomics pathway mapping,"Luis Francisco Hernández Sánchez, Bram Burger, Carlos Horro, Antonio Fabregat, Stefan Johansson ...",30 July 2019,2019
An integrated chromosome-scale genome assembly of the Masai giraffe (Giraffa camelopardalis tippelskirchi),"Marta Farré, Qiye Li, Iulia Darolti, Yang Zhou, Joana Damas ...",30 July 2019,2019
Prospects and challenges of implementing DNA metabarcoding for high-throughput insect surveillance,"Alexander M Piper, Jana Batovska, Noel O I Cogan, John Weiss, John Paul Cunningham ...",30 July 2019,2019
To assemble or not to resemble—A validated Comparative Metatranscriptomics Workflow (CoMW),"Muhammad Zohaib Anwar, Anders Lanzen, Toke Bang-Andreasen, Carsten Suhr Jacobsen",30 July 2019,2019
CWL-Airflow: a lightweight pipeline manager supporting Common Workflow Language,"Michael Kotliar, Andrey V Kartashov, Artem Barski",18 July 2019,2019
PRSice-2: Polygenic Risk Score software for biobank-scale data,"Shing Wan Choi, Paul F O'Reilly",15 July 2019,2019
"De novo genome assembly of the endangered Acer yangbiense, a plant species with extremely small populations endemic to Yunnan Province, China","Jing Yang, Hafiz Muhammad Wariss, Lidan Tao, Rengang Zhang, Quanzheng Yun ...",15 July 2019,2019
OMMA enables population-scale analysis of complex genomic features and phylogenomic relationships from nanochannel-based optical maps,"Alden King-Yung Leung, Melissa Chun-Jiao Liu, Le Li, Yvonne Yuk-Yin Lai, Catherine Chu ...",09 July 2019,2019
"Toxins from scratch? Diverse, multimodal gene origins in the predatory robber fly Dasypogon diadema indicate a dynamic venom evolution in dipteran insects","Stephan Holger Drukewitz, Lukas Bokelmann, Eivind A B Undheim, Björn M von Reumont",09 July 2019,2019
A probabilistic multi-omics data matching method for detecting sample errors in integrative analysis,"Eunjee Lee, Seungyeul Yoo, Wenhui Wang, Zhidong Tu, Jun Zhu",09 July 2019,2019
iMicrobe: Tools and data-driven discovery platform for the microbiome sciences,"Ken Youens-Clark, Matt Bomhoff, Alise J Ponsero, Elisha M Wood-Charlson, Joshua Lynch ...",09 July 2019,2019
"Identifying, understanding, and correcting technical artifacts on the sex chromosomes in next-generation sequencing data","Timothy H Webster, Madeline Couse, Bruno M Grande, Eric Karlins, Tanya N Phung ...",09 July 2019,2019
"Chromosomal-level assembly of the blood clam, Scapharca (Anadara) broughtonii, using long sequence reads and Hi-C","Chang-Ming Bai, Lu-Sheng Xin, Umberto Rosani, Biao Wu, Qing-Chen Wang ...",09 July 2019,2019
"Box, stalked, and upside-down? Draft genomes from diverse jellyfish (Cnidaria, Acraspeda) lineages: Alatina alata (Cubozoa), Calvadosia cruxmelitensis (Staurozoa), and Cassiopea xamachana (Scyphozoa)","Aki Ohdera, Cheryl L Ames, Rebecca B Dikow, Ehsan Kayal, Marta Chiodin ...",01 July 2019,2019
Scalable biclustering — the future of big data exploration?,"Patryk Orzechowski, Krzysztof Boryczko, Jason H Moore",28 June 2019,2019
A collection of yeast cellular electron cryotomography data,"Lu Gan, Cai Tong Ng, Chen Chen, Shujun Cai",27 June 2019,2019
Pseudomolecule-level assembly of the Chinese oil tree yellowhorn (Xanthoceras sorbifolium) genome,"Quanxin Bi, Yang Zhao, Wei Du, Ying Lu, Lang Gui ...",26 June 2019,2019
The genome assembly and annotation of yellowhorn (Xanthoceras sorbifolium Bunge),"Qiang Liang, Huayang Li, Shouke Li, Fuling Yuan, Jingfeng Sun ...",26 June 2019,2019
A large interactive visual database of copy number variants discovered in taurine cattle,"Arun Kommadath, Jason R Grant, Kirill Krivushin, Adrien M Butty, Christine F Baes ...",26 June 2019,2019
Open Humans: A platform for participant-centered research and personal data exploration,"Bastian Greshake Tzovaras, Misha Angrist, Kevin Arvai, Mairi Dulaney, Vero Estrada-Galiñanes ...",26 June 2019,2019
PPR-Meta: a tool for identifying phages and plasmids from metagenomic fragments using deep learning,"Zhencheng Fang, Jie Tan, Shufang Wu, Mo Li, Congmin Xu ...",20 June 2019,2019
Screening methods for detection of ancient Mycobacterium tuberculosis complex fingerprints in next-generation sequencing data derived from skeletal samples,"Paulina Borówka, Łukasz Pułaski, Błażej Marciniak, Beata Borowska-Strugińska, Jarosław Dziadek ...",20 June 2019,2019
Carbon-based archiving: current progress and future prospects of DNA-based data storage,"Zhi Ping, Dongzhao Ma, Xiaoluo Huang, Shihong Chen, Longying Liu ...",20 June 2019,2019
A chromosome-scale genome assembly of cucumber (Cucumis sativus L.),"Qing Li, Hongbo Li, Wu Huang, Yuanchao Xu, Qian Zhou ...",18 June 2019,2019
TuBA: Tunable biclustering algorithm reveals clinically relevant tumor transcriptional profiles in breast cancer,"Amartya Singh, Gyan Bhanot, Hossein Khiabanian",18 June 2019,2019
GenPipes: an open-source framework for distributed and scalable genomic analyses,"Mathieu Bourgey, Rola Dali, Robert Eveleigh, Kuang Chung Chen, Louis Letourneau ...",11 June 2019,2019
High-resolution computational modeling of immune responses in the gut,"Meghna Verma, Josep Bassaganya-Riera, Andrew Leber, Nuria Tubau-Juni, Stefan Hoops ...",11 June 2019,2019
How can a high-quality genome assembly help plant breeders?,"Juliana Benevenuto, Luís Felipe V Ferrão, Rodrigo R Amadeu, Patricio Munoz",10 June 2019,2019
A chromosome-scale assembly of the major African malaria vector Anopheles funestus,"Jay Ghurye, Sergey Koren, Scott T Small, Seth Redmond, Paul Howell ...",03 June 2019,2019
Over-optimization of academic publishing metrics: observing Goodhart’s Law in action,"Michael Fire, Carlos Guestrin",30 May 2019,2019
Disordered gut microbiota and alterations in metabolic patterns are associated with atrial fibrillation,"Kun Zuo, Jing Li, Kuibao Li, Chaowei Hu, Yuanfeng Gao ...",30 May 2019,2019
Map and model—moving from observation to prediction in toxicogenomics,"Andreas Schüttler, Rolf Altenburger, Madeleine Ammar, Marcella Bader-Blukott, Gianina Jakobs ...",29 May 2019,2019
BSA4Yeast: Web-based quantitative trait locus linkage analysis and bulk segregant analysis of yeast sequencing data,"Zhi Zhang, Paul P Jung, Valentin Grouès, Patrick May, Carole Linster ...",29 May 2019,2019
LION/web: a web-based ontology enrichment tool for lipidomic data analysis,"Martijn R Molenaar, Aike Jeucken, Tsjerk A Wassenaar, Chris H A van de Lest, Jos F Brouwers ...",29 May 2019,2019
A photometric stereo-based 3D imaging system using computer vision and deep learning for tracking plant growth,"Gytis Bernotas, Livia C T Scorza, Mark F Hansen, Ian J Hales, Karen J Halliday ...",25 May 2019,2019
Software engineering for scientific big data analysis,"Björn A Grüning, Samuel Lampa, Marc Vaudel, Daniel Blankenberg",23 May 2019,2019
A haplotype-resolved draft genome of the European sardine (Sardina pilchardus),"Bruno Louro, Gianluca De Moro, Carlos Garcia, Cymon J Cox, Ana Veríssimo ...",21 May 2019,2019
Rice Galaxy: an open resource for plant science,"Venice Juanillas, Alexis Dereeper, Nicolas Beaume, Gaetan Droc, Joshua Dizon ...",18 May 2019,2019
"Ultra-deep, long-read nanopore sequencing of mock microbial community standards","Samuel M Nicholls, Joshua C Quick, Shuiquan Tang, Nicholas J Loman",15 May 2019,2019
Metabolic responses of rice cultivars with different tolerance to combined drought and heat stress under field conditions,"Lovely Mae F Lawas, Xia Li, Alexander Erban, Joachim Kopka, S V Krishna Jagadish ...",13 May 2019,2019
De novo assembly of the Indian blue peacock (Pavo cristatus) genome using Oxford Nanopore technology and Illumina sequencing,"Ruby Dhar, Ashikh Seethy, Karthikeyan Pethusamy, Sunil Singh, Vishwajeet Rohil ...",11 May 2019,2019
Correction to: Chiron: translating nanopore raw signal directly into nucleotide sequence using deep learning,"Haotian Teng, Minh Duc Cao, Michael B Hall, Tania Duarte, Sheng Wang ...",11 May 2019,2019
Gigwa v2—Extended and improved genotype investigator,"Guilhem Sempéré, Adrien Pétel, Mathieu Rouard, Julien Frouin, Yann Hueber ...",11 May 2019,2019
De novo transcriptome assembly: A comprehensive cross-species comparison of short-read RNA-Seq assemblers,"Martin Hölzer, Manja Marz",11 May 2019,2019
A highly predictive signature of cognition and brain atrophy for progression to Alzheimer's dementia,"Angela Tam, Christian Dansereau, Yasser Iturria-Medina, Sebastian Urchs, Pierre Orban ...",11 May 2019,2019
The genomes of pecan and Chinese hickory provide insights into Carya evolution and nut nutrition,"Youjun Huang, Lihong Xiao, Zhongren Zhang, Rui Zhang, Zhengjia Wang ...",02 May 2019,2019
Single-cell transcriptomic landscape of nucleated cells in umbilical cord blood,"Yi Zhao, Xiao Li, Weihua Zhao, Jingwan Wang, Jiawei Yu ...",02 May 2019,2019
Datastorr: a workflow and package for delivering successive versions of 'evolving data' directly into R,"Daniel S Falster, Richard G FitzJohn, Matthew W Pennell, William K Cornwell",01 May 2019,2019
Fast and accurate relatedness estimation from high-throughput sequencing data in the presence of inbreeding,"Kristian Hanghøj, Ida Moltke, Philip Alstrup Andersen, Andrea Manica, Thorfinn Sand Korneliussen",30 April 2019,2019
SciPipe: A workflow library for agile development of complex and dynamic bioinformatics pipelines,"Samuel Lampa, Martin Dahlö, Jonathan Alvarsson, Ola Spjuth",26 April 2019,2019
A multi-omics data simulator for complex disease studies and its application to evaluate multi-omics data analysis methods for disease classification,"Ren-Hua Chung, Chen-Yu Kang",26 April 2019,2019
PseudoFuN: Deriving functional potentials of pseudogenes from integrative relationships with genes and microRNAs across 32 cancers,"Travis S Johnson, Sihong Li, Eric Franz, Zhi Huang, Shuyu Dan Li ...",26 April 2019,2019
Microbiome Learning Repo (ML Repo): A public repository of microbiome regression and classification tasks,"Pajau Vangay, Benjamin M Hillmann, Dan Knights",26 April 2019,2019
"Bioportainer Workbench: a versatile and user-friendly system that integrates implementation, management, and use of bioinformatics resources in Docker environments","Fabiano B Menegidio, David Aciole Barbosa, Rafael dos S Gonçalves, Marcio M Nishime, Daniela L Jabes ...",25 April 2019,2019
"Duphold: scalable, depth-based annotation and curation of high-confidence structural variant calls","Brent S Pedersen, Aaron R Quinlan",24 April 2019,2019
Accumulating computational resource usage of genomic data analysis workflow to optimize cloud computing instance selection,"Tazro Ohta, Tomoya Tanjo, Osamu Ogasawara",24 April 2019,2019
"DamMet: ancient methylome mapping accounting for errors, true variants, and post-mortem DNA damage","Kristian Hanghøj, Gabriel Renaud, Anders Albrechtsen, Ludovic Orlando",20 April 2019,2019
An efficient and robust laboratory workflow and tetrapod database for larger scale environmental DNA studies,"Jan Axtner, Alex Crampton-Platt, Lisa A Hörig, Azlan Mohamed, Charles C Y Xu ...",13 April 2019,2019
Combinatorial Detection of Conserved Alteration Patterns for Identifying Cancer Subnetworks,"Ermin Hodzic, Raunak Shrestha, Kaiyuan Zhu, Kuoyuan Cheng, Colin C Collins ...",11 April 2019,2019
A draft nuclear-genome assembly of the acoel flatworm Praesagittifera naikaiensis,"Asuka Arimoto, Tomoe Hikosaka-Katayama, Akira Hikosaka, Kuni Tagawa, Toyoshige Inoue ...",06 April 2019,2019
Genome sequence of the corn leaf aphid (Rhopalosiphum maidis Fitch),"Wenbo Chen, Sara Shakir, Mahdiyeh Bigham, Annett Richter, Zhangjun Fei ...",06 April 2019,2019
De novo genome assembly of the white-spotted flower chafer (Protaetia brevitarsis),"Kui Wang, Pengpeng Li, Yongyang Gao, Chunqin Liu, Qinglei Wang ...",05 April 2019,2019
MGS-Fast: Metagenomic shotgun data fast annotation using microbial gene catalogs,"Stuart M Brown, Hao Chen, Yuhan Hao, Bobby P Laungani, Thahmina A Ali ...",03 April 2019,2019
TranscriptAchilles: a genome-wide platform to predict isoform biomarkers of gene essentiality in cancer,"Fernando Carazo, Lucía Campuzano, Xabier Cendoya, Francisco J Planes, Angel Rubio",03 April 2019,2019
Digital expression explorer 2: a repository of uniformly processed RNA sequencing data,"Mark Ziemann, Antony Kaspi, Assam El-Osta",03 April 2019,2019
Chromosome-scale assemblies reveal the structural evolution of African cichlid genomes,"Matthew A Conte, Rajesh Joshi, Emily C Moore, Sri Pratima Nandamuri, William J Gammerdinger ...",03 April 2019,2019
A hybrid de novo assembly of the sea pansy (Renilla muelleri) genome,"Justin B Jiang, Andrea M Quattrini, Warren R Francis, Joseph F Ryan, Estefanía Rodríguez ...",03 April 2019,2019
Chromosome-scale genome assembly of kiwifruit Actinidia eriantha with single-molecule sequencing and chromatin interaction mapping,"Wei Tang, Xuepeng Sun, Junyang Yue, Xiaofeng Tang, Chen Jiao ...",03 April 2019,2019
Erratum to: Efficient generation of complete sequences of MDR-encoding plasmids by rapid assembly of MinION barcoding sequencing data,"Ruichao Li, Miaomiao Xie, Ning Dong, Dachuan Lin, Xuemei Yang ...",14 March 2019,2019
Erratum to: A micro X-ray computed tomography dataset of South African hermit crabs (Crustacea: Decapoda: Anomura: Paguroidea) containing scans of two rare specimens and three recently described species,"Jannes Landschoff, Anton Du Plessis, Charles L Griffiths",14 March 2019,2019
Nanopore sequencing of long ribosomal DNA amplicons enables portable and simple biodiversity assessments with high phylogenetic resolution across broad taxonomic scale,"Henrik Krehenwinkel, Aaron Pomerantz, James B Henderson, Susan R Kennedy, Jun Ying Lim ...",02 March 2019,2019
Common workflow language (CWL)-based software pipeline for de novo genome assembly from long- and short-read data,"Pasi K Korhonen, Ross S Hall, Neil D Young, Robin B Gasser",01 March 2019,2019
Correction to: Deep whole-genome sequencing of 90 Han Chinese Genomes,"Tianming Lan, Haoxiang Lin, Wenjuan Zhu, Laurent Christian Asker Melchior Tellier, Mengcheng Yang ...",25 February 2019,2019
"Genome sequence of the barred knifejaw Oplegnathus fasciatus (Temminck & Schlegel, 1844): the first chromosome-level draft genome in the family Oplegnathidae","Yongshuang Xiao, Zhizhong Xiao, Daoyuan Ma, Jing Liu, Jun Li",01 February 2019,2019
The genomic basis for colonizing the freezing Southern Ocean revealed by Antarctic toothfish and Patagonian robalo genomes,"Liangbiao Chen, Ying Lu, Wenhao Li, Yandong Ren, Mengchao Yu ...",31 January 2019,2019
Understanding of researcher behavior is required to improve data reliability,"Mark N Wass, Larry Ray, Martin Michaelis",31 January 2019,2019
Haplotype-phased genome and evolution of phytonutrient pathways of tetraploid blueberry,"Marivi Colle, Courtney P Leisner, Ching Man Wai, Shujun Ou, Kevin A Bird ...",31 January 2019,2019
"Linking genetic, metabolic, and phenotypic diversity among Saccharomyces cerevisiae strains using multi-omics associations","Kang Kang, Basti Bergdahl, Daniel Machado, Laura Dato, Ting-Li Han ...",31 January 2019,2019
Integrating genomic resources to present full gene and putative promoter capture probe sets for bread wheat,"Laura-Jayne Gardiner, Thomas Brabbs, Alina Akhunov, Katherine Jordan, Hikmet Budak ...",31 January 2019,2019
CropSight: a scalable and open-source information management system for distributed plant phenotyping and IoT-based crop management,"Daniel Reynolds, Joshua Ball, Alan Bauer, Robert Davey, Simon Griffiths ...",31 January 2019,2019
Modeling genotypes in their microenvironment to predict single- and multi-cellular behavior,"Dimitrios Voukantsis, Kenneth Kahn, Martin Hadley, Rowan Wilson, Francesca M Buffa",31 January 2019,2019
"The unique composition of Indian gut microbiome, gene catalogue, and associated fecal metabolome deciphered using multi-omics approaches","D B Dhakan, A Maji, A K Sharma, R Saxena, J Pulikkan ...",30 January 2019,2019
EEG dataset and OpenBMI toolbox for three BCI paradigms: an investigation into BCI illiteracy,"Min-Ho Lee, O-Yeon Kwon, Yong-Jeong Kim, Hong-Kyung Kim, Young-Eun Lee ...",30 January 2019,2019
A chromosomal-scale genome assembly of Tectona grandis reveals the importance of tandem gene duplication and enables discovery of genes in natural product biosynthetic pathways,"Dongyan Zhao, John P Hamilton, Wajid Waheed Bhat, Sean R Johnson, Grant T Godden ...",30 January 2019,2019
SMAGEXP: a galaxy tool suite for transcriptomics data meta-analysis,"Samuel Blanck, Guillemette Marot",29 January 2019,2019
New de novo assembly of the Atlantic bottlenose dolphin (Tursiops truncatus) improves genome completeness and provides haplotype phasing,"Karine A Martinez-Viaud, Cindy Taylor Lawley, Milmer Martinez Vergara, Gil Ben-Zvi, Tammy Biniashvili ...",29 January 2019,2019
Molecular digitization of a botanical garden: high-depth whole-genome sequencing of 689 vascular plant species from the Ruili Botanical Garden,"Huan Liu, Jinpu Wei, Ting Yang, Weixue Mu, Bo Song ...",25 January 2019,2019
NanoPipe—a web server for nanopore MinION sequencing data analysis,"Victoria Shabardina, Tabea Kischka, Felix Manske, Norbert Grundmann, Martin C Frith ...",24 January 2019,2019
"Genome sequence of Malania oleifera, a tree with great value for nervonic acid production","Chao-Qun Xu, Hui Liu, Shan-Shan Zhou, Dong-Xu Zhang, Wei Zhao ...",24 January 2019,2019
Comparative analyses identify genomic features potentially involved in the evolution of birds-of-paradise,"Stefan Prost, Ellie E Armstrong, Johan Nylander, Gregg W C Thomas, Alexander Suh ...",24 January 2019,2019
