Source,Target,Title,Year,Citations
5,5851,Whisper: read sorting allows robust mapping of DNA sequencing data,2019.0,1.0
5,5852,Kmer-db: instant evolutionary distance estimation,2019.0,9.0
5,5852,Whisper: read sorting allows robust mapping of DNA sequencing data,2019.0,1.0
5,5853,Whisper: read sorting allows robust mapping of DNA sequencing data,2019.0,1.0
5,6933,CoMSA: compression of protein multiple sequence alignment files,2019.0,4.0
5,6947,GTShark: genotype compression in large projects,2020.0,2.0
5,6947,Kmer-db: instant evolutionary distance estimation,2019.0,9.0
5,6947,GTC: how to maintain huge genotype collections in a compressed form,2018.0,13.0
5,7864,FaStore: a space-saving solution for raw sequencing data,2018.0,28.0
6,7,pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
6,8,pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
6,9,pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
6,10,pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
7,6,pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
7,8,pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
7,9,pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
7,10,pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
7,2269,eCAMI: simultaneous classification and motif identification for enzyme annotation,2020.0,2.0
7,3340,Detecting hidden batch factors through data-adaptive adjustment for biological effects,2018.0,6.0
7,3341,Detecting hidden batch factors through data-adaptive adjustment for biological effects,2018.0,6.0
7,3342,Detecting hidden batch factors through data-adaptive adjustment for biological effects,2018.0,6.0
7,3343,Detecting hidden batch factors through data-adaptive adjustment for biological effects,2018.0,6.0
7,5562,CSHAP: efficient haplotype frequency estimation based on sparse representation,2019.0,1.0
7,5563,CSHAP: efficient haplotype frequency estimation based on sparse representation,2019.0,1.0
7,7950,eCAMI: simultaneous classification and motif identification for enzyme annotation,2020.0,2.0
7,8545,eCAMI: simultaneous classification and motif identification for enzyme annotation,2020.0,2.0
7,8546,eCAMI: simultaneous classification and motif identification for enzyme annotation,2020.0,2.0
8,6,pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
8,7,pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
8,9,pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
8,10,pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
9,6,pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
9,7,pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
9,8,pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
9,10,pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
10,6,pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
10,7,pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
10,8,pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
10,9,pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
11,12,RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
11,13,RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
11,14,RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
11,15,RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
12,11,RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
12,13,RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
12,14,RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
12,15,RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
13,11,RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
13,12,RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
13,14,RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
13,15,RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
14,11,RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
14,12,RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
14,13,RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
14,15,RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
15,11,RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
15,12,RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
15,13,RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
15,14,RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
16,17,Cross-React: a new structural bioinformatics method for predicting allergen cross-reactivity,2017.0,20.0
17,16,Cross-React: a new structural bioinformatics method for predicting allergen cross-reactivity,2017.0,20.0
18,19,A comprehensive benchmark of RNA–RNA interaction prediction tools for all domains of life,2017.0,32.0
19,18,A comprehensive benchmark of RNA–RNA interaction prediction tools for all domains of life,2017.0,32.0
19,1169,A profile-based method for identifying functional divergence of orthologous genes in bacterial genomes,2016.0,16.0
19,1170,A profile-based method for identifying functional divergence of orthologous genes in bacterial genomes,2016.0,16.0
19,1171,A profile-based method for identifying functional divergence of orthologous genes in bacterial genomes,2016.0,16.0
19,12409,Solubility-Weighted Index: fast and accurate prediction of protein solubility,2020.0,2.0
19,12410,Solubility-Weighted Index: fast and accurate prediction of protein solubility,2020.0,2.0
20,21,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
20,21,cd2sbgnml: bidirectional conversion between CellDesigner and SBGN formats,2020.0,4.0
20,22,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
20,23,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
20,24,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
20,4899,cd2sbgnml: bidirectional conversion between CellDesigner and SBGN formats,2020.0,4.0
20,11495,cd2sbgnml: bidirectional conversion between CellDesigner and SBGN formats,2020.0,4.0
20,11496,cd2sbgnml: bidirectional conversion between CellDesigner and SBGN formats,2020.0,4.0
21,20,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
21,20,cd2sbgnml: bidirectional conversion between CellDesigner and SBGN formats,2020.0,4.0
21,22,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
21,23,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
21,24,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
21,4899,cd2sbgnml: bidirectional conversion between CellDesigner and SBGN formats,2020.0,4.0
21,11495,cd2sbgnml: bidirectional conversion between CellDesigner and SBGN formats,2020.0,4.0
21,11496,cd2sbgnml: bidirectional conversion between CellDesigner and SBGN formats,2020.0,4.0
22,20,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
22,21,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
22,23,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
22,24,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
23,20,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
23,21,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
23,22,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
23,24,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
24,20,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
24,21,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
24,22,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
24,23,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
25,26,Predict drug permeability to blood–brain-barrier from clinical phenotypes: drug side effects and drug indications,2017.0,22.0
25,26,A Drug-Side Effect Context-Sensitive Network approach for drug target prediction,2019.0,7.0
25,26,Context-sensitive network-based disease genetics prediction and its implications in drug discovery,2017.0,16.0
25,188,Predict drug permeability to blood–brain-barrier from clinical phenotypes: drug side effects and drug indications,2017.0,22.0
25,189,Predict drug permeability to blood–brain-barrier from clinical phenotypes: drug side effects and drug indications,2017.0,22.0
25,5836,A Drug-Side Effect Context-Sensitive Network approach for drug target prediction,2019.0,7.0
26,25,Predict drug permeability to blood–brain-barrier from clinical phenotypes: drug side effects and drug indications,2017.0,22.0
26,25,A Drug-Side Effect Context-Sensitive Network approach for drug target prediction,2019.0,7.0
26,25,Context-sensitive network-based disease genetics prediction and its implications in drug discovery,2017.0,16.0
26,188,Predict drug permeability to blood–brain-barrier from clinical phenotypes: drug side effects and drug indications,2017.0,22.0
26,189,Predict drug permeability to blood–brain-barrier from clinical phenotypes: drug side effects and drug indications,2017.0,22.0
26,5836,A Drug-Side Effect Context-Sensitive Network approach for drug target prediction,2019.0,7.0
26,5836,Combining phenome-driven drug-target interaction prediction with patients’ electronic health records-based clinical corroboration toward drug discovery,2020.0,5.0
26,7602,An iterative approach to detect pleiotropy and perform Mendelian Randomization analysis using GWAS summary statistics,2020.0,2.0
26,8440,An iterative approach to detect pleiotropy and perform Mendelian Randomization analysis using GWAS summary statistics,2020.0,2.0
26,11357,An iterative approach to detect pleiotropy and perform Mendelian Randomization analysis using GWAS summary statistics,2020.0,2.0
26,12225,Combining phenome-driven drug-target interaction prediction with patients’ electronic health records-based clinical corroboration toward drug discovery,2020.0,5.0
27,28,The structural bioinformatics library: modeling in biomolecular science and beyond,2017.0,31.0
28,27,The structural bioinformatics library: modeling in biomolecular science and beyond,2017.0,31.0
29,30,"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
29,31,"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
29,32,"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
29,33,"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
30,29,"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
30,31,"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
30,32,"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
30,33,"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
31,29,"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
31,30,"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
31,32,"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
31,33,"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
31,3822,Structurexplor: a platform for the exploration of structural features of RNA secondary structures,2017.0,3.0
31,3822,The super-n-motifs model: a novel alignment-free approach for representing and comparing RNA secondary structures,2017.0,9.0
31,4404,Structurexplor: a platform for the exploration of structural features of RNA secondary structures,2017.0,3.0
31,4404,The super-n-motifs model: a novel alignment-free approach for representing and comparing RNA secondary structures,2017.0,9.0
32,29,"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
32,30,"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
32,31,"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
32,33,"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
33,29,"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
33,30,"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
33,31,"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
33,32,"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
34,35,Image-based correction of continuous and discontinuous non-planar axial distortion in serial section microscopy,2017.0,16.0
34,36,Image-based correction of continuous and discontinuous non-planar axial distortion in serial section microscopy,2017.0,16.0
35,34,Image-based correction of continuous and discontinuous non-planar axial distortion in serial section microscopy,2017.0,16.0
35,36,Image-based correction of continuous and discontinuous non-planar axial distortion in serial section microscopy,2017.0,16.0
36,34,Image-based correction of continuous and discontinuous non-planar axial distortion in serial section microscopy,2017.0,16.0
36,35,Image-based correction of continuous and discontinuous non-planar axial distortion in serial section microscopy,2017.0,16.0
36,4748,PreMosa: extracting 2D surfaces from 3D microscopy mosaics,2017.0,12.0
36,4749,PreMosa: extracting 2D surfaces from 3D microscopy mosaics,2017.0,12.0
36,4750,PreMosa: extracting 2D surfaces from 3D microscopy mosaics,2017.0,12.0
36,4751,PreMosa: extracting 2D surfaces from 3D microscopy mosaics,2017.0,12.0
37,38,Toward fast and accurate SNP genotyping from whole genome sequencing data for bedside diagnostics,2019.0,12.0
37,38,VarMatch: robust matching of small variant datasets using flexible scoring schemes,2017.0,13.0
37,4696,EUPAN enables pan-genome studies of a large number of eukaryotic genomes,2017.0,17.0
37,4697,EUPAN enables pan-genome studies of a large number of eukaryotic genomes,2017.0,17.0
37,4698,EUPAN enables pan-genome studies of a large number of eukaryotic genomes,2017.0,17.0
37,4699,EUPAN enables pan-genome studies of a large number of eukaryotic genomes,2017.0,17.0
38,37,Toward fast and accurate SNP genotyping from whole genome sequencing data for bedside diagnostics,2019.0,12.0
38,37,VarMatch: robust matching of small variant datasets using flexible scoring schemes,2017.0,13.0
38,696,TwoPaCo: an efficient algorithm to build the compacted de Bruijn graph from many complete genomes,2017.0,51.0
38,697,TwoPaCo: an efficient algorithm to build the compacted de Bruijn graph from many complete genomes,2017.0,51.0
38,1678,Compacting de Bruijn graphs from sequencing data quickly and in low memory,2016.0,97.0
38,1679,Compacting de Bruijn graphs from sequencing data quickly and in low memory,2016.0,97.0
38,2938,Improved representation of sequence bloom trees,2018.0,13.0
39,40,switchde: inference of switch-like differential expression along single-cell trajectories,2017.0,18.0
39,40,A descriptive marker gene approach to single-cell pseudotime inference,2017.0,850.0
39,2025,"Scater: pre-processing, quality control, normalization and visualization of single-cell RNA-seq data in R",2017.0,509.0
39,5408,"Scater: pre-processing, quality control, normalization and visualization of single-cell RNA-seq data in R",2017.0,509.0
39,5409,"Scater: pre-processing, quality control, normalization and visualization of single-cell RNA-seq data in R",2017.0,509.0
40,39,A descriptive marker gene approach to single-cell pseudotime inference,2017.0,850.0
40,39,switchde: inference of switch-like differential expression along single-cell trajectories,2017.0,18.0
41,42,Wright–Fisher exact solver (WFES): scalable analysis of population genetic models without simulation or diffusion theory,2017.0,8.0
41,43,Wright–Fisher exact solver (WFES): scalable analysis of population genetic models without simulation or diffusion theory,2017.0,8.0
41,7608,Improved enzyme annotation with EC-specific cutoffs using DETECT v2,2018.0,7.0
41,7609,Improved enzyme annotation with EC-specific cutoffs using DETECT v2,2018.0,7.0
41,7610,Improved enzyme annotation with EC-specific cutoffs using DETECT v2,2018.0,7.0
41,7611,Improved enzyme annotation with EC-specific cutoffs using DETECT v2,2018.0,7.0
42,41,Wright–Fisher exact solver (WFES): scalable analysis of population genetic models without simulation or diffusion theory,2017.0,8.0
42,43,Wright–Fisher exact solver (WFES): scalable analysis of population genetic models without simulation or diffusion theory,2017.0,8.0
43,41,Wright–Fisher exact solver (WFES): scalable analysis of population genetic models without simulation or diffusion theory,2017.0,8.0
43,42,Wright–Fisher exact solver (WFES): scalable analysis of population genetic models without simulation or diffusion theory,2017.0,8.0
43,4752,EzMap: a simple pipeline for reproducible analysis of the human virome,2017.0,3.0
43,4753,EzMap: a simple pipeline for reproducible analysis of the human virome,2017.0,3.0
44,45,Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
44,46,Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
44,47,Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
44,48,Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
45,44,Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
45,46,Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
45,47,Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
45,48,Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
46,44,Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
46,45,Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
46,47,Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
46,48,Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
47,44,Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
47,45,Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
47,46,Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
47,48,Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
48,44,Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
48,45,Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
48,46,Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
48,47,Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
49,50,ontologyX: a suite of R packages for working with ontological data,2017.0,33.0
49,51,ontologyX: a suite of R packages for working with ontological data,2017.0,33.0
50,49,ontologyX: a suite of R packages for working with ontological data,2017.0,33.0
50,51,ontologyX: a suite of R packages for working with ontological data,2017.0,33.0
51,49,ontologyX: a suite of R packages for working with ontological data,2017.0,33.0
51,50,ontologyX: a suite of R packages for working with ontological data,2017.0,33.0
52,53,Improved VCF normalization for accurate VCF comparison,2017.0,5.0
52,54,Improved VCF normalization for accurate VCF comparison,2017.0,5.0
52,55,Improved VCF normalization for accurate VCF comparison,2017.0,5.0
53,52,Improved VCF normalization for accurate VCF comparison,2017.0,5.0
53,54,Improved VCF normalization for accurate VCF comparison,2017.0,5.0
53,55,Improved VCF normalization for accurate VCF comparison,2017.0,5.0
54,52,Improved VCF normalization for accurate VCF comparison,2017.0,5.0
54,53,Improved VCF normalization for accurate VCF comparison,2017.0,5.0
54,55,Improved VCF normalization for accurate VCF comparison,2017.0,5.0
55,52,Improved VCF normalization for accurate VCF comparison,2017.0,5.0
55,53,Improved VCF normalization for accurate VCF comparison,2017.0,5.0
55,54,Improved VCF normalization for accurate VCF comparison,2017.0,5.0
56,57,ThetaMater: Bayesian estimation of population size parameter θ from genomic data,2017.0,8.0
56,57,GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,2017.0,11.0
56,58,ThetaMater: Bayesian estimation of population size parameter θ from genomic data,2017.0,8.0
56,58,GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,2017.0,11.0
56,59,GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,2017.0,11.0
56,60,PhyloWGA: chromosome-aware phylogenetic interrogation of whole genome alignments,2020.0,nan
56,60,ThetaMater: Bayesian estimation of population size parameter θ from genomic data,2017.0,8.0
56,60,GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,2017.0,11.0
56,2403,PhyloWGA: chromosome-aware phylogenetic interrogation of whole genome alignments,2020.0,nan
56,2941,ThetaMater: Bayesian estimation of population size parameter θ from genomic data,2017.0,8.0
57,56,ThetaMater: Bayesian estimation of population size parameter θ from genomic data,2017.0,8.0
57,56,GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,2017.0,11.0
57,58,ThetaMater: Bayesian estimation of population size parameter θ from genomic data,2017.0,8.0
57,58,GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,2017.0,11.0
57,59,GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,2017.0,11.0
57,60,ThetaMater: Bayesian estimation of population size parameter θ from genomic data,2017.0,8.0
57,60,GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,2017.0,11.0
57,2941,ThetaMater: Bayesian estimation of population size parameter θ from genomic data,2017.0,8.0
58,56,ThetaMater: Bayesian estimation of population size parameter θ from genomic data,2017.0,8.0
58,56,GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,2017.0,11.0
58,57,ThetaMater: Bayesian estimation of population size parameter θ from genomic data,2017.0,8.0
58,57,GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,2017.0,11.0
58,59,GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,2017.0,11.0
58,60,ThetaMater: Bayesian estimation of population size parameter θ from genomic data,2017.0,8.0
58,60,GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,2017.0,11.0
58,2941,ThetaMater: Bayesian estimation of population size parameter θ from genomic data,2017.0,8.0
59,56,GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,2017.0,11.0
59,57,GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,2017.0,11.0
59,58,GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,2017.0,11.0
59,60,GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,2017.0,11.0
60,56,ThetaMater: Bayesian estimation of population size parameter θ from genomic data,2017.0,8.0
60,56,GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,2017.0,11.0
60,56,PhyloWGA: chromosome-aware phylogenetic interrogation of whole genome alignments,2020.0,nan
60,57,ThetaMater: Bayesian estimation of population size parameter θ from genomic data,2017.0,8.0
60,57,GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,2017.0,11.0
60,58,ThetaMater: Bayesian estimation of population size parameter θ from genomic data,2017.0,8.0
60,58,GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,2017.0,11.0
60,59,GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,2017.0,11.0
60,2403,PhyloWGA: chromosome-aware phylogenetic interrogation of whole genome alignments,2020.0,nan
60,2941,ThetaMater: Bayesian estimation of population size parameter θ from genomic data,2017.0,8.0
61,62,"High-throughput interpretation of gene structure changes in human and nonhuman resequencing data, using ACE",2017.0,3.0
61,62,Predicting gene structure changes resulting from genetic variants via exon definition features,2018.0,4.0
61,63,"High-throughput interpretation of gene structure changes in human and nonhuman resequencing data, using ACE",2017.0,3.0
61,63,Predicting gene structure changes resulting from genetic variants via exon definition features,2018.0,4.0
61,64,"High-throughput interpretation of gene structure changes in human and nonhuman resequencing data, using ACE",2017.0,3.0
61,65,"High-throughput interpretation of gene structure changes in human and nonhuman resequencing data, using ACE",2017.0,3.0
61,65,Predicting gene structure changes resulting from genetic variants via exon definition features,2018.0,4.0
61,7689,Predicting gene structure changes resulting from genetic variants via exon definition features,2018.0,4.0
61,9449,Bayesian estimation of genetic regulatory effects in high-throughput reporter assays,2020.0,nan
61,9450,Bayesian estimation of genetic regulatory effects in high-throughput reporter assays,2020.0,nan
61,9451,Bayesian estimation of genetic regulatory effects in high-throughput reporter assays,2020.0,nan
61,9452,Bayesian estimation of genetic regulatory effects in high-throughput reporter assays,2020.0,nan
62,61,"High-throughput interpretation of gene structure changes in human and nonhuman resequencing data, using ACE",2017.0,3.0
62,61,Predicting gene structure changes resulting from genetic variants via exon definition features,2018.0,4.0
62,63,"High-throughput interpretation of gene structure changes in human and nonhuman resequencing data, using ACE",2017.0,3.0
62,63,Predicting gene structure changes resulting from genetic variants via exon definition features,2018.0,4.0
62,64,"High-throughput interpretation of gene structure changes in human and nonhuman resequencing data, using ACE",2017.0,3.0
62,65,"High-throughput interpretation of gene structure changes in human and nonhuman resequencing data, using ACE",2017.0,3.0
62,65,Predicting gene structure changes resulting from genetic variants via exon definition features,2018.0,4.0
62,7689,Predicting gene structure changes resulting from genetic variants via exon definition features,2018.0,4.0
63,61,"High-throughput interpretation of gene structure changes in human and nonhuman resequencing data, using ACE",2017.0,3.0
63,61,Predicting gene structure changes resulting from genetic variants via exon definition features,2018.0,4.0
63,62,"High-throughput interpretation of gene structure changes in human and nonhuman resequencing data, using ACE",2017.0,3.0
63,62,Predicting gene structure changes resulting from genetic variants via exon definition features,2018.0,4.0
63,64,"High-throughput interpretation of gene structure changes in human and nonhuman resequencing data, using ACE",2017.0,3.0
63,65,"High-throughput interpretation of gene structure changes in human and nonhuman resequencing data, using ACE",2017.0,3.0
63,65,Predicting gene structure changes resulting from genetic variants via exon definition features,2018.0,4.0
63,7689,Predicting gene structure changes resulting from genetic variants via exon definition features,2018.0,4.0
64,61,"High-throughput interpretation of gene structure changes in human and nonhuman resequencing data, using ACE",2017.0,3.0
64,62,"High-throughput interpretation of gene structure changes in human and nonhuman resequencing data, using ACE",2017.0,3.0
64,63,"High-throughput interpretation of gene structure changes in human and nonhuman resequencing data, using ACE",2017.0,3.0
